"host","source","subdomain_listed","api_host_listed","api_row_count","valid_hostname_syntax","dns_resolves","address_count","sample_addresses","verification_note"
"co-in-cf.latam-co.saea1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"co-in-cf.latam-mx.usea1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"co-in-cf.latam-pe.saea1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"co-in-cf.mena.meso1.aws.indriverapp.com","api_methods.csv","False","True","4","True","True","4","13.33.235.123;13.33.235.13;13.33.235.35",""
"co-in-cf.mena-eg.meso1.aws.indriverapp.com","api_methods.csv","False","True","4","True","True","4","3.164.206.12;3.164.206.124;3.164.206.21",""
"co-in-cf.sa.apso1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"co-in-cf.sa-in.apso1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"co-in-cf.sea.apse3.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"compliance.indrive.com","Subdomains.csv","True","False","0","True","True","4","3.164.68.108;3.164.68.111;3.164.68.124",""
"console.s3-kz.indriver.com","Subdomains.csv","True","False","0","True","True","1","185.102.74.214",""
"coturn.indrive.dev","Subdomains.csv","True","False","0","True","True","1","3.66.95.226",""
"courier-cf.africa.afso1.aws.indriverapp.com","api_methods.csv","False","True","16","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"courier-cf.cis.euce1.aws.indriverapp.com","api_methods.csv","False","True","21","True","True","4","3.164.68.43;3.164.68.5;3.164.68.78",""
"courier-cf.eu.euce1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"courier-cf.latam.saea1.aws.indriverapp.com","api_methods.csv","False","True","16","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"courier-cf.latam-br.saea1.aws.indriverapp.com","api_methods.csv","False","True","16","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"courier-cf.latam-co.saea1.aws.indriverapp.com","api_methods.csv","False","True","16","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"courier-cf.latam-mx.usea1.aws.indriverapp.com","api_methods.csv","False","True","17","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"courier-cf.latam-pe.saea1.aws.indriverapp.com","api_methods.csv","False","True","16","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
