horizon_h,bin_key,n,n_low,n_high,manifest_rate_low,manifest_rate_high,delta_high_minus_low
12,"(0, 0.0, 2.0, 0, 0.0)",17,6,11,0.0,0.0,0.0
12,"(0, 0.0, 2.0, 0, 1.0)",21,6,15,0.0,0.0,0.0
12,"(0, 0.0, 2.0, 1, 2.0)",13,6,7,0.0,0.0,0.0
12,"(0, 0.0, 2.0, 2, 2.0)",9,5,4,0.0,0.0,0.0
12,"(0, 1.0, 0.0, 0, 0.0)",32,11,21,0.0,0.047619047619047616,0.047619047619047616
12,"(0, 1.0, 0.0, 0, 1.0)",32,12,20,0.0,0.1,0.1
12,"(0, 1.0, 0.0, 0, 2.0)",23,3,20,0.0,0.0,0.0
12,"(0, 1.0, 0.0, 1, 0.0)",31,27,4,0.0,0.0,0.0
12,"(0, 1.0, 0.0, 1, 1.0)",26,20,6,0.05,0.16666666666666666,0.11666666666666665
12,"(0, 1.0, 0.0, 1, 2.0)",11,4,7,0.0,0.0,0.0
12,"(0, 1.0, 0.0, 2, 0.0)",33,24,9,0.0,0.0,0.0
12,"(0, 1.0, 0.0, 2, 1.0)",15,11,4,0.0,0.0,0.0
12,"(0, 1.0, 0.0, 2, 2.0)",15,4,11,0.25,0.18181818181818182,-0.06818181818181818
12,"(0, 1.0, 1.0, 0, 0.0)",26,18,8,0.0,0.0,0.0
12,"(0, 1.0, 1.0, 0, 1.0)",22,12,10,0.0,0.0,0.0
12,"(0, 1.0, 1.0, 0, 2.0)",18,6,12,0.0,0.0,0.0
12,"(0, 1.0, 1.0, 1, 1.0)",22,19,3,0.05263157894736842,0.0,-0.05263157894736842
12,"(0, 1.0, 2.0, 0, 0.0)",20,10,10,0.0,0.0,0.0
12,"(0, 1.0, 2.0, 0, 1.0)",18,9,9,0.0,0.1111111111111111,0.1111111111111111
12,"(0, 2.0, 0.0, 0, 0.0)",42,12,30,0.0,0.1,0.1
12,"(0, 2.0, 0.0, 0, 1.0)",28,6,22,0.0,0.045454545454545456,0.045454545454545456
12,"(0, 2.0, 0.0, 1, 0.0)",36,25,11,0.0,0.18181818181818182,0.18181818181818182
12,"(0, 2.0, 0.0, 1, 1.0)",27,15,12,0.0,0.08333333333333333,0.08333333333333333
12,"(0, 2.0, 0.0, 1, 2.0)",15,7,8,0.0,0.125,0.125
12,"(0, 2.0, 0.0, 2, 0.0)",52,40,12,0.075,0.0,-0.075
12,"(0, 2.0, 0.0, 2, 1.0)",18,11,7,0.0,0.0,0.0
12,"(0, 2.0, 1.0, 0, 0.0)",25,15,10,0.13333333333333333,0.1,-0.033333333333333326
12,"(0, 2.0, 1.0, 0, 1.0)",17,10,7,0.0,0.0,0.0
12,"(0, 2.0, 1.0, 0, 2.0)",9,3,6,0.0,0.0,0.0
12,"(0, 2.0, 1.0, 2, 0.0)",36,33,3,0.0,0.0,0.0
12,"(0, 2.0, 1.0, 2, 1.0)",26,22,4,0.045454545454545456,0.0,-0.045454545454545456
12,"(0, 2.0, 1.0, 2, 2.0)",14,7,7,0.0,0.2857142857142857,0.2857142857142857
12,"(0, 2.0, 2.0, 0, 0.0)",29,13,16,0.07692307692307693,0.0625,-0.014423076923076927
12,"(0, 2.0, 2.0, 0, 2.0)",11,3,8,0.0,0.125,0.125
12,"(0, 2.0, 2.0, 1, 0.0)",15,9,6,0.2222222222222222,0.0,-0.2222222222222222
12,"(0, 2.0, 2.0, 2, 0.0)",11,8,3,0.25,0.0,-0.25
12,"(0, 2.0, 2.0, 2, 2.0)",11,4,7,0.0,0.14285714285714285,0.14285714285714285
12,"(1, 0.0, 0.0, 1, 0.0)",12,6,6,0.0,0.0,0.0
12,"(1, 0.0, 0.0, 1, 1.0)",15,11,4,0.0,0.0,0.0
12,"(1, 0.0, 0.0, 1, 2.0)",17,7,10,0.0,0.1,0.1
12,"(1, 0.0, 0.0, 2, 0.0)",17,13,4,0.0,0.0,0.0
12,"(1, 0.0, 0.0, 2, 1.0)",18,11,7,0.0,0.0,0.0
12,"(1, 0.0, 0.0, 2, 2.0)",19,3,16,0.0,0.0,0.0
12,"(1, 0.0, 1.0, 0, 0.0)",11,4,7,0.0,0.0,0.0
12,"(1, 0.0, 1.0, 0, 1.0)",18,12,6,0.0,0.0,0.0
12,"(1, 0.0, 1.0, 1, 0.0)",29,26,3,0.038461538461538464,0.0,-0.038461538461538464
12,"(1, 0.0, 1.0, 1, 1.0)",27,24,3,0.125,0.0,-0.125
12,"(1, 0.0, 1.0, 1, 2.0)",19,5,14,0.0,0.0,0.0
12,"(1, 0.0, 1.0, 2, 2.0)",19,9,10,0.0,0.0,0.0
12,"(1, 0.0, 2.0, 0, 0.0)",16,6,10,0.0,0.1,0.1
12,"(1, 0.0, 2.0, 0, 1.0)",27,7,20,0.0,0.05,0.05
12,"(1, 0.0, 2.0, 0, 2.0)",29,3,26,0.0,0.0,0.0
12,"(1, 0.0, 2.0, 1, 0.0)",17,12,5,0.0,0.2,0.2
12,"(1, 0.0, 2.0, 1, 1.0)",18,12,6,0.0,0.0,0.0
12,"(1, 0.0, 2.0, 1, 2.0)",31,8,23,0.125,0.043478260869565216,-0.08152173913043478
12,"(1, 0.0, 2.0, 2, 0.0)",11,8,3,0.0,0.0,0.0
12,"(1, 0.0, 2.0, 2, 1.0)",12,9,3,0.1111111111111111,0.3333333333333333,0.2222222222222222
12,"(1, 0.0, 2.0, 2, 2.0)",16,10,6,0.0,0.0,0.0
12,"(1, 1.0, 0.0, 0, 0.0)",17,5,12,0.0,0.0,0.0
12,"(1, 1.0, 0.0, 0, 1.0)",15,5,10,0.0,0.1,0.1
12,"(1, 1.0, 0.0, 1, 0.0)",19,14,5,0.0,0.2,0.2
12,"(1, 1.0, 0.0, 1, 1.0)",24,16,8,0.0,0.0,0.0
12,"(1, 1.0, 0.0, 1, 2.0)",23,11,12,0.0,0.0,0.0
12,"(1, 1.0, 0.0, 2, 0.0)",17,12,5,0.0,0.0,0.0
12,"(1, 1.0, 0.0, 2, 1.0)",23,19,4,0.0,0.0,0.0
12,"(1, 1.0, 0.0, 2, 2.0)",12,6,6,0.0,0.0,0.0
12,"(1, 1.0, 1.0, 0, 0.0)",25,13,12,0.07692307692307693,0.0,-0.07692307692307693
12,"(1, 1.0, 1.0, 0, 1.0)",20,16,4,0.0625,0.25,0.1875
12,"(1, 1.0, 1.0, 0, 2.0)",19,6,13,0.0,0.07692307692307693,0.07692307692307693
12,"(1, 1.0, 1.0, 1, 2.0)",24,16,8,0.0,0.125,0.125
12,"(1, 1.0, 1.0, 2, 2.0)",21,13,8,0.15384615384615385,0.0,-0.15384615384615385
12,"(1, 1.0, 2.0, 0, 0.0)",22,12,10,0.08333333333333333,0.2,0.11666666666666668
12,"(1, 1.0, 2.0, 0, 1.0)",22,6,16,0.16666666666666666,0.0625,-0.10416666666666666
12,"(1, 1.0, 2.0, 0, 2.0)",16,4,12,0.25,0.0,-0.25
12,"(1, 1.0, 2.0, 1, 1.0)",23,19,4,0.21052631578947367,0.25,0.03947368421052633
12,"(1, 1.0, 2.0, 1, 2.0)",22,9,13,0.1111111111111111,0.07692307692307693,-0.03418803418803418
12,"(1, 1.0, 2.0, 2, 0.0)",17,14,3,0.0,0.0,0.0
12,"(1, 1.0, 2.0, 2, 1.0)",24,21,3,0.047619047619047616,0.0,-0.047619047619047616
12,"(1, 1.0, 2.0, 2, 2.0)",17,9,8,0.0,0.0,0.0
12,"(1, 2.0, 0.0, 0, 0.0)",30,9,21,0.1111111111111111,0.09523809523809523,-0.015873015873015872
12,"(1, 2.0, 0.0, 0, 2.0)",14,3,11,0.0,0.09090909090909091,0.09090909090909091
12,"(1, 2.0, 0.0, 1, 0.0)",20,11,9,0.0,0.1111111111111111,0.1111111111111111
12,"(1, 2.0, 0.0, 1, 1.0)",12,8,4,0.0,0.25,0.25
12,"(1, 2.0, 0.0, 2, 0.0)",17,11,6,0.09090909090909091,0.0,-0.09090909090909091
12,"(1, 2.0, 0.0, 2, 1.0)",22,14,8,0.0,0.125,0.125
12,"(1, 2.0, 0.0, 2, 2.0)",14,6,8,0.0,0.0,0.0
12,"(1, 2.0, 1.0, 0, 0.0)",17,8,9,0.0,0.0,0.0
12,"(1, 2.0, 1.0, 0, 1.0)",14,10,4,0.0,0.25,0.25
12,"(1, 2.0, 1.0, 0, 2.0)",15,6,9,0.0,0.2222222222222222,0.2222222222222222
12,"(1, 2.0, 1.0, 1, 0.0)",32,28,4,0.0,0.0,0.0
12,"(1, 2.0, 1.0, 1, 2.0)",19,13,6,0.0,0.0,0.0
12,"(1, 2.0, 1.0, 2, 1.0)",33,30,3,0.06666666666666667,0.0,-0.06666666666666667
12,"(1, 2.0, 1.0, 2, 2.0)",16,7,9,0.0,0.1111111111111111,0.1111111111111111
12,"(1, 2.0, 2.0, 0, 0.0)",26,14,12,0.14285714285714285,0.0,-0.14285714285714285
12,"(1, 2.0, 2.0, 0, 1.0)",17,6,11,0.0,0.09090909090909091,0.09090909090909091
12,"(1, 2.0, 2.0, 1, 0.0)",22,17,5,0.058823529411764705,0.4,0.3411764705882353
12,"(1, 2.0, 2.0, 1, 2.0)",23,10,13,0.1,0.3076923076923077,0.2076923076923077
12,"(1, 2.0, 2.0, 2, 0.0)",18,13,5,0.07692307692307693,0.2,0.12307692307692308
12,"(1, 2.0, 2.0, 2, 1.0)",22,18,4,0.05555555555555555,0.0,-0.05555555555555555
12,"(1, 2.0, 2.0, 2, 2.0)",18,7,11,0.0,0.18181818181818182,0.18181818181818182
12,"(2, 0.0, 0.0, 0, 1.0)",20,3,17,0.0,0.0,0.0
12,"(2, 0.0, 0.0, 1, 1.0)",10,4,6,0.0,0.16666666666666666,0.16666666666666666
